Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t301.flac,["Uncle John's Band"]
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t302.flac,['Black Peter']
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t303.flac,['Dire Wolf']
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t304.flac,["Good Lovin'"]
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t305.flac,['Dancing in the Streets']
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t306.flac,['Saint Stephen>']
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d3t307.flac,['In the Midnight Hour']
Z:\Grateful Dead\1970\gd1970-01-03.06642.sbd.early-late.lai.sbefail.flac16\gd1970-01-03d2t202.flac,['Mama Tried']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\01 Morning Dew.flac,['01 - Morning Dew']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\02 Me And My Uncle.flac,['02 - Me And My Uncle']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\03 Hard To Handle.flac,['03 - Hard To Handle']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\04 Cumberland Blues.flac,['04 - Cumberland Blues']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\05 Cold Rain And Snow.flac,['05 - Cold Rain And Snow']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\06 Alligator.flac,['06 - Alligator >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\07 Drums.flac,['07 - Drums >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\08 Jam.flac,['08 - Jam >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\09 Alligator.flac,['09 - Alligator >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\10 Feedback.flac,['10 - Feedback']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\11 Uncle John's Band.flac,["11 - Uncle John's Band"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\12 Casey Jones.flac,['12 - Casey Jones']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\13 Mama Tried.flac,['13 - Mama Tried']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\14 Big Boss Man.flac,['14 - Big Boss Man']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\15 China Cat Sunflower.flac,['15 - China Cat Sunflower >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\16 I Know You Rider.flac,['16 - I Know You Rider']
