Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t01.flac,['Space>']
Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t02.flac,['The Weel>']
Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t03.flac,['Not Fade Away>']
Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t04.flac,['Wharf Rat>']
Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t05.flac,['Sugar Magnolia']
Z:\Grateful Dead\1982\gd1982-02-17.112408.sbd.miller.flac16\gd1982-02-17d3t06.flac,["(I Can't Get No) Satisfaction"]
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t01.flac,['New Minglewood Blues >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t02.flac,['Sugaree']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t03.flac,['On The Road Again']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t04.flac,['Bird Song']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t05.flac,['C.C. Rider']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t06.flac,['Tennessee Jed']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t07.flac,["It's All Over Now"]
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t08.flac,['Loser']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d1t09.flac,['Man Smart (Women Are Smarter)']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d2t01.flac,['Scarlet Begonias >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d2t02.flac,['Fire On The Mountain']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d2t03.flac,['Estimated Prophet >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d2t04.flac,['Eyes Of The World >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d2t05.flac,['Drums >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t01.flac,['Space >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t02.flac,['The Wheel >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t03.flac,['Not Fade Away >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t04.flac,['Wharf Rat >']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t05.flac,['Sugar Magnolia']
Z:\Grateful Dead\1982\gd1982-02-17.138012.mtx.seamons.ht111.t-flac16\gd1982-02-17d3t06.flac,["(I Can't Get No) Satisfaction"]
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t01 Crowd.flac,['Crowd']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t02 New Minglewood Blues.flac,['New Minglewood Blues >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t03 Sugaree.flac,['Sugaree']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t04 On The Road Again.flac,['On The Road Again']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t05 Bird Song.flac,['Bird Song >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t06 CC Rider.flac,['CC Rider']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t07 Tennessee Jed.flac,['Tennessee Jed']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t08 It's All Over Now.flac,["It's All Over Now"]
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t09 Loser.flac,['Loser >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s1t10 Man Smart (Woman Smarter).flac,['Man Smart (Woman Smarter)']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t01 Crowd.flac,['Crowd']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t02 Scarlet Begonias.flac,['Scarlet Begonias >']
