Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t10.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t11.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t01 Cold Rain & Snow.flac,['Cold Rain & Snow']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t02 Man Smart (Women Smarter).flac,['Man Smart (Women Smarter)']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t03 Standing On The Moon.flac,['Standing On The Moon']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t04 Playing In The Band.flac,['Playing In The Band >']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t05 Drums.flac,['Drums >']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t06 Space.flac,['Space >']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t07 I Will Take You Home.flac,['I Will Take You Home >']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t08 He's Gone.flac,["He's Gone>"]
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t09 I Need A Miracle.flac,['I Need A Miracle >']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t10 Morning Dew.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t11 Encore Break.flac,['Encore Break']
Z:\Grateful Dead\1989\gd1989-02-05.139666.s2.sbd-pcm.miller-clugston.t-flac16\gd1989-02-05 2nd Set t12 Johnny B. Goode.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\01 Tuning.flac,['tuning']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\02 Cold Rain And Snow.flac,['Cold Rain and Snow']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\03 Man Smart (Woman Smarter).flac,['Man Smart, Woman Smarter']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\04 Standing On The Moon.flac,['Standing on the Moon']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\05 Playing In The Band.flac,['Playing in the Band >']
