Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t09.flac,['Hell in a Bucket>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t10.flac,['Might as Well']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t01.flac,['crowd/tuning']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t02.flac,["Truckin'>"]
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t03.flac,['Terrapin Station>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t04.flac,['Man Smart (Women Are Smarter)>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t05.flac,['Iko Iko>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t06.flac,['Man Smart (Women Are Smarter)>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t07.flac,['Drums>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t08.flac,['Space>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t09.flac,['Throwing Stones>']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t10.flac,['Touch of Grey']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d2t11.flac,['Johnny B. Goode']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track01.flac,['Cold Rain & Snow>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track02.flac,['Day Tripper']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track03.flac,['West L.A. Fadeaway>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track04.flac,['Mama Tried>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track05.flac,['Big River']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track06.flac,['Tennessee Jed']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track07.flac,['Looks Like Rain>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d1Track08.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track01.flac,['Scarlet Begonias>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track02.flac,['Fire on the Mountain>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track03.flac,['Playing in the Band> Drums>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track04.flac,['Drums cont.>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track05.flac,['Space>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track06.flac,['Space cont.>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track07.flac,['The Wheel>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track08.flac,['Black Peter>']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track09.flac,['Turn on Your Lovelight']
Z:\Grateful Dead\1985\gd1985-02-20.005303.senn441.powell.lai.sbefail.t-flac16\d2Track10.flac,['U.S. Blues']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t01.flac,['Cold Rain & Snow>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t02.flac,['Day Tripper']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t03.flac,['West L.A. Fadeaway']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t04.flac,['Mama Tried>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t05.flac,['Big River']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t06.flac,['Tennessee Jed']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t07.flac,['Looks Like Rain>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t08.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t09.flac,['Scarlet Bergonias>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d1t10.flac,['Fire on the Mountain']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t01.flac,['Playing in the Band>']
