D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t14.flac|Rockin' Chair
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t15.flac|Stealin'
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t16.flac|Poison Glass of Wine
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t17.flac|Drink Up and Go Home
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t18.flac|Arabia
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-01.flac|Shady Grove
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-02.flac|Long Black Veil
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-03.flac|Rosalie McFall
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-04.flac|Dawg's Waltz
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-05.flac|Freight Train
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-06.flac|Hot Corn, Cold Corn
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-07.flac|Red Rocking Chair
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d1-08.flac|Grateful Dawg
