D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d1t05.flac|Deal
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d2t01.flac|I'll Take a Melody
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d2t02.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d2t03.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t001.flac|tuning
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t002.flac|How Sweet It Is
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t003.flac|They Love Each Other
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t004.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t005.flac|Mississippi Moon
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d1t006.flac|Deal
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d2t001.flac|tuning
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d2t002.flac|I'll Take a Melody
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d2t003.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-06-03.095560.jgb.uher.yamaguchi.minches.t-flac16\jg1985-06-03d2t004.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t01.flac|I'll Take a Melody
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t02.flac|Sugaree
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t03.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t04.flac|Deal
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t05.flac|Cats Under the Stars
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t06.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t07.flac|Reuben and Cherise
D:\Jerry Garcia\1985\jg1985-08-04.011041.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-04d1t08.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d1t01.flac|How Sweet It Is
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d1t02.flac|They Love Each Other
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d1t03.flac|Knockin' on Heaven's Door
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d1t04.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d1t05.flac|Tangled Up in Blue
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t01.flac|tuning
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t02.flac|Mission in the Rain
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t03.flac|Love in the Afternoon
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t04.flac|Russian Lullaby
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t05.flac|The Night They Drove Old Dixie Down
D:\Jerry Garcia\1985\jg1985-08-05.011121.jgb.fob-nak700.connor.t-flac16\jgb85-08-05d2t06.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d1t01.flac|Cats Under the Stars
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d1t02.flac|Catfish John
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d1t03.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d1t04.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d1t05.flac|Deal
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d2t01.flac|I'll Take a Melody
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d2t02.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d2t03.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d2t04.flac|Reuben and Cherise
D:\Jerry Garcia\1985\jg1985-08-09.011131.jgb.fob-nak700.connor.t-flac16\jgb85-08-09d2t05.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t01.flac|Get Out of My Life, Woman
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t02.flac|Like a Road Leading Home
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t03.flac|It Ain't No Use
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t04.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t05.flac|Deal
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t06.flac|Rhapsody In Red
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t07.flac|Dear Prudence
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t08.flac|Reuben and Cherise
D:\Jerry Garcia\1985\jg1985-08-10.011145.jgb.nak700.connor.sbeok.t-flac16\jgb85-08-10t09.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t01.flac|Deep Elem Blues
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t02.flac|Little Sadie
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t03.flac|Valerie
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t04.flac|Friend of the Devil
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t05.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d1t06.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t01.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t02.flac|I've Been All Around This World
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t03.flac|Jack-A-Roe
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t04.flac|Bird Song
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t05.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-08-17.020898.jgjk.nak700.corley.ladner.sbeok.t-flac16\jg+jk85-08-17d2t06.flac|Ripple
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t01.flac|tuning
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t02.flac|Deep Elem Blues
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t03.flac|Friend of the Devil
