D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t10.flac|Sweet Lovin' One
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t11.flac|Last Lonely Eagle
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t12.flac|Louisiana Lady
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t13.flac|Honky Tonk Woman../
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t01.flac|Workin' Man Blues
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t02.flac|I Don't Know You
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t03.flac|Fair Chance to Know
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t04.flac|Truck Drivin' Man
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t05.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t06.flac|Watcha Gonna Do
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t07.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t08.flac|Runnin' Back to You
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t09.flac|Lodi
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t10.flac|Connection
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t11.flac|Louisiana Lady
D:\Jerry Garcia\1971\jg1971-02-21.096444.nrps.aud.unknown.weiner-berger.sbeok.t-flac16\nrps1971-02-21d1t12.flac|Honky Tonk Woman
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t01.flac|Workin' Man Blues
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t02.flac|I Don't Know You
